时间,昵称,内容,类型
9/3/2026 13:44,delorenzo,谁主张谁举证,文本
9/3/2026 13:44,A New Hope,"请自己翻记录。每条都有justify。你指出来
引用：Tear: 那请你先证明你们没在造谣",引用消息
9/3/2026 13:46,A New Hope,如果我指正的都是正确的，你可不可以主动承认女生在造谣呢,文本
9/3/2026 13:46,Yutong,"这是人嘴里能说出来的话？
引用：Tear: 那请你先证明你们没在造谣",引用消息
9/3/2026 13:47,Tear,你们说的这些如果不是在造谣 那很需要别人承认吗？,文本
9/3/2026 13:48,Tear,事实是啥我并不关心,文本
9/3/2026 13:49,A New Hope,"确实，你确实抛开事实不谈
引用：Tear: 事实是啥我并不关心",引用消息
9/3/2026 13:49,Tear,我单纯觉得你们可以闭嘴了或者真要举证去搞个pdf或者搞个小群二维码 想了解的自己进 很简单 拉上你们的证人 一起帮着说话的朋友 去私下解决,文本
9/3/2026 13:49,delorenzo,"说别人造谣自己不举证，那就是诬告
引用：Tear: 你们说的这些如果不是在造谣 那很需要别人承认吗？",引用消息
9/3/2026 13:50,Tear,噢 那你告我,文本
9/3/2026 13:50,Tear,报警抓我,文本
9/3/2026 13:50,delorenzo,杨景元你好,文本
9/3/2026 13:50,Tear,别逗我笑嘞,文本
9/3/2026 13:50,delorenzo,你拍驾照给我哈,文本
9/3/2026 13:51,Yutong,这就反咬一口是吗[捂脸],文本
9/3/2026 13:51,Tear,我质疑一件事情 难道不是你们去举证吗 我诬告了 你有证据吗,文本
9/3/2026 13:51,原则+文明,"这位同学说得很在理，而且她没法举证，因为证据在她进群前的群聊里。但大家都看得见
引用：Tear: 你们说的这些如果不是在造谣 那很需要别人承认吗？",引用消息
9/3/2026 13:51,Tear,那我再反过来说你造谣我造谣,文本
9/3/2026 13:51,Yutong,咬人谁不会啊,文本
9/3/2026 13:51,Tear,现在到你了,文本
9/3/2026 13:51,Tear,你最会咬没错,文本
9/3/2026 13:51,Denshen,请问女生那边需要举证吗,文本
9/3/2026 13:51,Tear,我看你那个发言就疯疯癫癫的,文本
9/3/2026 13:51,Yutong,"好问题
引用：Dishen 单板教练 雪板打蜡: 请问女生那边需要举证吗",引用消息
9/3/2026 13:52,Yutong,人家没问女方，应该不需要[旺柴],文本
9/3/2026 13:52,Tear,女方需要举证啥啊,文本
9/3/2026 13:52,Tear,她收到了钱,文本
9/3/2026 13:52,Tear,不转回去不是事实吗,文本
9/3/2026 13:52,Denshen,你不是在说造谣这事吗,文本
9/3/2026 13:52,A New Hope,现在有点男女对立了，你看现在谁数钱数的高兴,文本
9/3/2026 13:53,Tear,对啊,文本
9/3/2026 13:53,Tear,所以我的意思是 跟这笔钱没关系的事情,文本
9/3/2026 13:53,Tear,在这讲什么,文本
9/3/2026 13:53,Tear,话是一堆一堆的 密度是高的,文本
9/3/2026 13:53,Tear,正儿八经的信息量就这么点,文本
9/3/2026 13:54,Tear,叽里咕噜的能解决啥问题,文本
9/3/2026 13:54,Yutong,综上，@Tear 认为女方不需要退钱,文本
9/3/2026 13:54,Yutong,感谢直言,文本
9/3/2026 13:54,Tear,我去,文本
9/3/2026 13:54,Tear,你逻辑鬼才啊,文本
9/3/2026 13:54,Denshen,不是你说人家造谣的吗[捂脸],文本
9/3/2026 13:54,Tear,你读完九年义务教育了吗,文本
9/3/2026 13:54,Yutong,我985[旺柴],文本
9/3/2026 13:55,Yutong,本科,文本
9/3/2026 13:55,A New Hope,"你能替她兜底嘛？ 解决不了你出头付钱
引用：Tear: 叽里咕噜的能解决啥问题",引用消息
9/3/2026 13:55,Tear,985出了个你这样的,文本
9/3/2026 13:55,Yutong,你自己的表达能力有问题,文本
9/3/2026 13:55,Tear,那真不幸了,文本
9/3/2026 13:55,Taihe,她可能是说没必要讲1000刀以外的事,文本
9/3/2026 13:55,A New Hope,站着说话不腰疼,文本
9/3/2026 13:55,Tear,可以 ok 来你们建个小群 拉我进去 把当事人以及那对情侣全拉进去,文本
9/3/2026 13:55,Tear,给个二维码也可以,文本
9/3/2026 13:56,A New Hope,她也还欠我们钱呢，我们也不能说吗？ 合并要钱不行吗？,文本
9/3/2026 13:56,Yutong,别人都是演的不像，你这不像演的,文本
9/3/2026 13:56,Tear,我来好好吃一吃你们这个瓜,文本
9/3/2026 13:56,Tear,"麻烦你这举证哈
引用：_A_New_Hope: 她也还欠我们钱呢，我们也不能说吗？ 合并要钱不行吗？",引用消息
9/3/2026 13:56,Tear,可以的啊,文本
9/3/2026 13:56,Tear,没问题,文本
9/3/2026 13:56,Tear,我从头到尾讲没讲我不了解事情经过,文本
9/3/2026 13:56,A New Hope,"我们建，可以，你能不能替她兜底。不然为什么听你的
引用：Tear: 可以 ok 来你们建个小群 拉我进去 把当事人以及那对情侣全拉进去",引用消息
9/3/2026 13:56,Tear,也是给你们整停不下来了 亢奋起来了,文本
9/3/2026 13:57,Tear,那说白了 关我屁事,文本
9/3/2026 13:57,delorenzo,985不还有杨景媛这肥猪嘛[呲牙],文本
9/3/2026 13:57,Yutong,兜底？她跑的比谁都快[吃瓜],文本
9/3/2026 13:57,A New Hope,"你都抛开事实不谈了，我们当然维护正义咯
引用：Tear: 也是给你们整停不下来了 亢奋起来了",引用消息
9/3/2026 13:57,Tear,我现在来句我兜底 你就信吗哥们 那活该你会被骗,文本
9/3/2026 13:58,Tear,脑子不好是这样的 我有厌蠢症,文本
9/3/2026 13:58,delorenzo,说肥猪应激的默认肥猪，说生化母体应激的默认生化母体,文本
9/3/2026 13:58,Yutong,"🤣是这样的
引用：Li_jiaNing_delorenzo: 说肥猪应激的默认肥猪，说生化母体应激的默认生化母体",引用消息
9/3/2026 13:59,Yutong,因为正经人只会感觉和自己很遥远,文本
9/3/2026 13:59,Tear,你是长了张嘴 可惜喷的全是废料 两个手往屏幕上一放就是梦到啥说啥了,文本
9/3/2026 13:59,A New Hope,人家@NH2S 钱都花完了，还有人在这儿顶缸呢,文本
9/3/2026 14:00,Tear,"如果你在做自我介绍的我可以原谅你的胡言乱语
引用：Li_jiaNing_delorenzo: 说肥猪应激的默认肥猪，说生化母体应激的默认生化母体",引用消息
9/3/2026 14:00,A New Hope,"所以你也是吐不出来象牙
引用：Tear: 我现在来句我兜底 你就信吗哥们 那活该你会被骗",引用消息
9/3/2026 14:00,Tear,也吗？因为你也这样？,文本
9/3/2026 14:00,,"""Li jiaNing delorenzo"" 撤回了一条消息",系统消息
9/3/2026 14:01,Tear,和你混为一谈还行吧 至少你比你主人强一点,文本
9/3/2026 14:01,Tear,撤回是睡醒了吗,文本
9/3/2026 14:02,Tear,没逻辑的话你们爱讲 我讲了又不行了,文本
9/3/2026 14:02,Denshen,请列出,文本
9/3/2026 14:02,Tear,要点逻辑时间线证据证人对峙又说什么啊啊啊干嘛要听我的,文本
9/3/2026 14:02,Tear,神了,文本
9/3/2026 14:03,Tear,轻松绷住,文本
9/3/2026 14:03,Tear,"你说话我更是听不明白 你要我列啥
引用：Dishen 单板教练 雪板打蜡: 请列出",引用消息
9/3/2026 14:03,Tear,请先说明你的需求好吗 这边不接受完形填空的哈亲亲,文本
9/3/2026 14:03,Denshen,哪句话没逻辑哪句话又逻辑啊,文本
9/3/2026 14:04,Yutong,她没逻辑而已，非要替Yanjun Liu出头[旺柴],文本
9/3/2026 14:04,Tear,噢你具体要我列哪个人的,文本
9/3/2026 14:04,Tear,毕竟我不知道你到底占谁边,文本
9/3/2026 14:04,Tear,yanjunliu是谁我认识吗,文本
9/3/2026 14:04,Denshen,我中立 你把有逻辑的列几句 没逻辑的列几句,文本
9/3/2026 14:04,狄迪卫Rex,【表情包】 ,表情包
9/3/2026 14:05,A New Hope,各位有福了，之前见证了贼喊捉贼，现在又看到了“自干五”,文本
9/3/2026 14:05,Tear,呲着个大牙开始说我站边了,文本
9/3/2026 14:05,Tear,那可太多了随便选一点没逻辑的,文本
9/3/2026 14:07,Tear,"【合并转发的聊天记录】

- 2026-9-3 下午1:28 Yutong: 马基雅维利极端利己主义+反社会病态自恋主义
- 2026-9-3 下午1:29 Yutong: 你那点脆弱的自尊只能用认知失调来重新构建
- 2026-9-3 下午1:46 Yutong: 这是人嘴里能说出来的话？
Tear：那请你先证明你们没在造谣
- 2026-9-3 下午1:52 Yutong: 人家没问女方，应该不需要[旺柴]
- 2026-9-3 下午1:54 Yutong: 综上，@Tear 认为女方不需要退钱
- 2026-9-3 下午1:57 delorenzo: 985不还有杨景媛这肥猪嘛[呲牙]
- 2026-9-3 下午1:58 delorenzo: 说肥猪应激的默认肥猪，说生化母体应激的默认生化母体
",合并转发的聊天记录
9/3/2026 14:07,Tear,"最没逻辑的就是你啦 张嘴就是自己985把学历当护身符使用呢
引用：Yutong: 她没逻辑而已，非要替Yanjun Liu出头[旺柴]",引用消息
9/3/2026 14:08,Tear,当然要是你不承认我也没办法 毕竟你985的护身符套在身上可以当免死金牌用了,文本
9/3/2026 14:08,Denshen,"？
引用：Tear: 你读完九年义务教育了吗",引用消息
9/3/2026 14:09,Yutong,老子985，非武大，河北考生，千军万马独木桥杀出来的，学信网可证实，你敢不敢说你的学历？[旺柴],文本
9/3/2026 14:09,Tear,噢因为实在太蠢了但肯定不是借此给他一个舞台的那个意思,文本
9/3/2026 14:09,正心正念德财配位,你们到底在吵什么,文本
9/3/2026 14:09,Tear,我学历不好啊我没文化我国内小学都没读完讲出来了,文本
9/3/2026 14:09,Tear,肯定跟你比不了,文本
9/3/2026 14:10,Tear,但我都能明白的逻辑有些人就是看不明白 可能是天生的吧 不是后期努力可以改变的,文本
9/3/2026 14:10,Tear,"哇塞哇塞 好厉害啊
引用：Yutong: 老子985，非武大，河北考生，千军万马独木桥杀出来的，学信网可证实，你敢不敢说你的学历？[旺柴]",引用消息
9/3/2026 14:11,Yutong,可惜了，敌在暗我在明，都不敢好好说话了,文本
9/3/2026 14:12,Tear,弱弱问一句我国内不是985毕业不能在这个群滑雪吗？是不是你的徒步群也有门槛啊,文本
9/3/2026 14:12,Tear,哎那是我高攀了,文本
9/3/2026 14:12,尼古拉斯·狗剩㍿,@Yutong 你又成稻草人了,文本
9/3/2026 14:12,A New Hope,"事实不谈，逻辑在线
引用：Tear: 事实是啥我并不关心",引用消息
9/3/2026 14:12,Tear,你又要讲话了吗,文本
9/3/2026 14:12,A New Hope,"哇， 温哥华 软软星
引用：Tear: 弱弱问一句我国内不是985毕业不能在这个群滑雪吗？是不是你的徒步群也有门槛啊",引用消息
9/3/2026 14:12,Tear,你的逻辑难道不是我不能兜底就不配让你举证吗,文本
9/3/2026 14:12,Tear,那我默认你们说的每句话都在造谣了啊,文本
9/3/2026 14:13,Tear,毕竟谁吃瓜敢惹祸上身呢,文本
9/3/2026 14:13,狄迪卫Rex,默认呗，反正大家都没默认。。。那你闭麦不就完了,文本
9/3/2026 14:14,A New Hope,可是谁会在意你怎么想的呢[捂脸],文本
9/3/2026 14:14,A New Hope,真拿自己当根葱了,文本
9/3/2026 14:14,Tear,好的好的 我闭麦哈 但要是我看见这个地方变成个乌烟瘴气的狂欢场地我参两脚又咋了,文本
9/3/2026 14:14,Tear,只许你们说话了又给我剥夺我说话的权利了,文本
9/3/2026 14:14,Tear,你可以不在意啊,文本
9/3/2026 14:15,Tear,反正我说两句我自己爽了就行呗 难道你们不是吗？,文本
9/3/2026 14:15,Yutong,你是不是不在渥太华啊,文本
9/3/2026 14:15,A New Hope,"谁抢了她手机赶紧还给他
引用：Tear: 只许你们说话了又给我剥夺我说话的权利了",引用消息
9/3/2026 14:15,狄迪卫Rex,那你就不要怕惹祸上身呗。。。[皱眉],文本
9/3/2026 14:15,Yutong,你发现没有，这几个人不会同时出现,文本
9/3/2026 14:15,A New Hope,"你自己爽，就爽呗。恶心我们干什么？
引用：Tear: 反正我说两句我自己爽了就行呗 难道你们不是吗？",引用消息
9/3/2026 14:16,狄迪卫Rex,【表情包】 闪避,表情包
9/3/2026 14:16,Tear,哈哈哈 那你在这不说话难道只是因为怕要替人还1000吗,文本
9/3/2026 14:16,Tear,啥逻辑啊,文本
9/3/2026 14:16,Tear,"我去啊 你好会阴谋伦
引用：Yutong: 你发现没有，这几个人不会同时出现",引用消息
9/3/2026 14:16,Yutong,搅浑水的，一会儿这个一会儿那个，但是不会在群里一起聊,文本
9/3/2026 14:16,Tear,感觉我都背后发凉了,文本
9/3/2026 14:17,Tear,难道说我真有人格分裂？,文本
9/3/2026 14:17,A New Hope,"那就多穿点儿，不行看看大夫
引用：Tear: 感觉我都背后发凉了",引用消息
9/3/2026 14:17,Tear,【表情包】 魔童降世,表情包
9/3/2026 14:17,Tear,"好感动 谢谢你关心我
引用：_A_New_Hope: 那就多穿点儿，不行看看大夫",引用消息
9/3/2026 14:18,铭博,其实可能还是这个emt的产品做的不太好，如果有更好的防误转账的办法就好了。,文本
9/3/2026 14:19,,"""铭博"" 撤回了一条消息",系统消息
9/3/2026 14:20,铭博,银行里做EMT的产品经理可以内部反馈一下,文本
9/3/2026 14:20,A New Hope,如果能这么随便撤回，不就乱套了。 谁还敢emt收钱,文本
9/3/2026 14:20,Taihe,这咋防误转账啊 转出去了还能很容易的再转回来吗,文本
9/3/2026 14:20,Taihe,那不就彻底混乱了,文本
9/3/2026 14:20,铭博,不一定是撤回,文本
9/3/2026 14:20,铭博,也可以是如果你很久不给这个人转钱，转钱的时候有个额外的提醒之类的,文本
9/3/2026 14:21,铭博,但是像房租每个月都有转账的习惯 就不需要额外的提醒了。就是转走之前多一步control,文本
9/3/2026 14:21,Tear,比如发之前再发弹个确认弹窗或者大额需要先锁一些时间再发出,文本
9/3/2026 14:22,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_v351upnc80v621"">Heng</a>""邀请""<a href=""weixin://link_profile?username=wxid_8d38mhuyqav912"">Ken</a>""加入了群聊",未知类型
9/3/2026 14:23,Tear,合理,文本
9/3/2026 14:26,原则+文明,【图片】,图片
9/3/2026 14:26,原则+文明,堵车，等我一会，谢谢,文本
9/3/2026 14:26,Tear,你也别说了吧,文本
9/3/2026 14:27,Tear,【表情包】 ,表情包
9/3/2026 14:28,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_lka5vsiibmtq12"">Ji🍑🍨</a>""邀请""<a href=""weixin://link_profile?username=wxid_85e1lfddy5fd32"">陈俊浩</a>""加入了群聊",未知类型
9/3/2026 14:29,狄迪卫Rex,我看小额法庭好像也要3-6个月的排期。。话说你们知道她的住址，工作单位地址吗。。我看如果没有这个信息，还要先找。。找不到才能申请法院substituted service,文本
9/3/2026 14:30,Yutong,我只有历史地址，不知道她搬没搬家,文本
9/3/2026 14:31,ヽ(￣д￣;)ノ=3=3,直接在这里问。[旺柴],文本
9/3/2026 14:32,狄迪卫Rex,我看AI说的是只要工作单位，住址，能指向这个人，收不收得到是她的问题。并不需要她确认收到,文本
9/3/2026 14:32,Yutong,那可以找我[吃瓜],文本
9/3/2026 14:33,狄迪卫Rex,就可以下面的流程。申请表我看了下也挺简单明了的。。。一套搞下来几十分钟，中间的花费和时间成本啥的都能算进赔偿的额度,文本
9/3/2026 14:34,Yutong,可以，那我随时配合,文本
9/3/2026 14:36,.,【图片】,图片
9/3/2026 14:36,Yutong,我来联合起诉,文本
9/3/2026 14:37,狄迪卫Rex,好像不行。需要分开,文本
9/3/2026 14:37,狄迪卫Rex,因为不是同一个事,文本
9/3/2026 14:37,狄迪卫Rex,【图片】,图片
9/3/2026 14:38,,"""。"" 撤回了一条消息",系统消息
9/3/2026 14:40,狄迪卫Rex,然后整理证据直接填表就行了。。。AI都能帮着填。最后就是等着心烦。。好像3-6个月打底[捂脸]，大概率要12个月。但是只要有case好像她背调，诚信声明之类的东西就会一直被卡着,文本
9/3/2026 14:41,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_mvkqji8x4tya22"">正心正念德财配位</a>""邀请""<a href=""weixin://link_profile?username=wxid_9pj2expz1epq22"">局外人🌾</a>""加入了群聊",未知类型
9/3/2026 14:42,,"""LSCLBV"" 撤回了一条消息",系统消息
9/3/2026 14:42,Ji🍑🍨,如果小法庭传唤她不去会怎么样，会一直拖吗,文本
9/3/2026 14:42,,"""SunJ"" 撤回了一条消息",系统消息
9/3/2026 14:43,狄迪卫Rex,她不需要去。证据在就行了,文本
9/3/2026 14:44,Yutong,难的是强制执行,文本
9/3/2026 14:44,Yutong,判是简单的,文本
9/3/2026 14:47,狄迪卫Rex,【图片】,图片
9/3/2026 14:47,狄迪卫Rex,【图片】,图片
9/3/2026 14:48,狄迪卫Rex,执行看起来作为普通人没什么逃避空间呢。,文本
9/3/2026 14:50,,"""。"" 撤回了一条消息",系统消息
9/3/2026 14:51,,"""。"" 撤回了一条消息",系统消息
9/3/2026 14:51,Yutong,她2024就毕业了,文本
9/3/2026 14:51,Yutong,早就不再了,文本
9/3/2026 14:51,.,[捂脸],文本
9/3/2026 14:51,Yutong,她导师年纪大了不维护这个页面了,文本
9/3/2026 14:52,狄迪卫Rex,【图片】,图片
9/3/2026 14:52,狄迪卫Rex,【图片】,图片
9/3/2026 14:53,狄迪卫Rex,Linkin找工作单位啊。这个比地址还好用[捂脸],文本
9/3/2026 14:54,狄迪卫Rex,直接小红书再开一个追款老赖的Vlog还能顺便起号[旺柴],文本
9/3/2026 14:55,狄迪卫Rex,起完号，变成奸商咔咔带货，割我们韭菜,文本
9/3/2026 14:58,Yutong,【图片】,图片
9/3/2026 14:58,A New Hope,之后卖课，三句话加拿大法院赔给我18亿[旺柴],文本
9/3/2026 14:59,Yutong,她有四个小额法庭受理记录,文本
9/3/2026 14:59,ヽ(￣д￣;)ノ=3=3,欠了68k？,文本
9/3/2026 15:00,ヽ(￣д￣;)ノ=3=3,【表情包】 震惊,表情包
9/3/2026 15:01,Yutong,人家流程都熟了,文本
9/3/2026 15:01,。,【表情包】 啊,表情包
9/3/2026 15:01,Ji🍑🍨,那没拿到钱吗当事人？,文本
9/3/2026 15:02,Mycena,【表情包】 ,表情包
9/3/2026 15:02,FBI！OPEN UP,还得是嘉豪，先上来秀一些有的没的，然后开始指挥。 nb,文本
9/3/2026 15:03,Yutong,她都是原告，好像是个讼棍[旺柴],文本
9/3/2026 15:03,A New Hope,嚯，渥大和渥市政府,文本
9/3/2026 15:03,ヽ(￣д￣;)ノ=3=3,跟她爹学的？,文本
9/3/2026 15:04,原则+文明,【图片】,图片
9/3/2026 15:04,Yutong,不都是，有一个是被告,文本
9/3/2026 15:05,A New Hope,原来各位渥太华市民还在给她付款呢,文本
9/3/2026 15:06,Yutong,被告这个牛了,文本
9/3/2026 15:06,Yutong,【图片】,图片
9/3/2026 15:06,Yutong,【图片】,图片
9/3/2026 15:06,Yutong,人家索赔她1.3‘,文本
9/3/2026 15:06,Yutong,1.3Million fking dollars!,文本
9/3/2026 15:07,原则+文明,【图片】,图片
9/3/2026 15:07,Yutong,我说怎么不怕csc找她要钱呢,文本
9/3/2026 15:08,Yutong,蚊子多了不咬,文本
9/3/2026 15:08,狄迪卫Rex,已经是死猪不怕开水烫了[捂脸],文本
9/3/2026 15:08,A New Hope,虱子多了不咬，债多了不愁啊,文本
9/3/2026 15:08,狄迪卫Rex,难搞,文本
9/3/2026 15:08,狄迪卫Rex,但是理论上3月份的case现在还在等,文本
9/3/2026 15:09,FBI！OPEN UP,我很想知道干啥了,文本
9/3/2026 15:09,FBI！OPEN UP,[呲牙],文本
9/3/2026 15:10,狄迪卫Rex,@Yutong 你看，你的素材又来了。。这还不起号吗,文本
9/3/2026 15:10,Yutong,我刚随便查了一下,文本
9/3/2026 15:11,Yutong,2015的那个应该不是她，她那个时候还没来,文本
9/3/2026 15:11,Yutong,其他三个应该都是，尤其是渥大那个,文本
9/3/2026 15:14,FBI！OPEN UP,我想知道具体干了啥,文本
9/3/2026 15:18,狄迪卫Rex,吃瓜吃晚了的难受程度“我想知道具体干了啥”[偷笑][偷笑][偷笑],文本
9/3/2026 15:18,FBI！OPEN UP,【表情包】 ,表情包
9/3/2026 15:20,chaesoo,"我说真的 不要动不动有女的犯错了就他吗把你辱女了当免死金牌行了吗
引用：Tear: 我说白了我也就纯路人 但我是女生 你可以攻击人品三观 但你要是去开黄腔侮辱女性或造谣 确实不是什么能解决问题的处理方式 ",引用消息
9/3/2026 15:22,周豪,而且先骂别人没文化，人家亮出来学历，回头说把学历挂在嘴边,文本
9/3/2026 15:23,chaesoo,我不知道他们之间具体有什么纠纷，但你想不想看她在社交平台上都说了什么？@Tear ,文本
9/3/2026 15:23,chaesoo,我并没有觉得她有很尊重自己,文本
9/3/2026 15:25,chaesoo,我不想截屏发这里给这个人留点脸面吧,文本
9/3/2026 15:25,原则+文明,@NH2S ,文本
9/3/2026 15:25,原则+文明,有多少人认识她？,文本
9/3/2026 15:26,原则+文明,扣个1,文本
9/3/2026 15:26,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_2184231837422"">Taihe</a>""邀请""<a href=""weixin://link_profile?username=wxid_6786527865312"">wAn思晨☀️</a>""加入了群聊",未知类型
9/3/2026 15:28,原则+文明,@chaesoo 有多少人认识她？扣个2,文本
9/3/2026 15:28,原则+文明,求来一个，同时扣1 2的人,文本
9/3/2026 15:28,chaesoo,？我不知道有多少人认识她,文本
9/3/2026 15:28,Tear,"我加你
引用：chaesoo: 我不知道他们之间具体有什么纠纷，但你想不想看她在社交平台上都说了什么？@Tear ",引用消息
9/3/2026 15:28,chaesoo,我也不认识她,文本
9/3/2026 15:29,chaesoo,我只是因为这件事被迫从一个租雪卡上升到认识她,文本
9/3/2026 15:29,Tear,"我单纯就事论事去点他说话不带脑子 我攻击他纯恶意 还有问题吗
引用：周豪: 而且先骂别人没文化，人家亮出来学历，回头说把学历挂在嘴边",引用消息
9/3/2026 15:29,delorenzo,生化母体你好👋,文本
9/3/2026 15:30,Tear,"你也是公狗来的小东西
引用：Li_jiaNing_delorenzo: 生化母体你好👋",引用消息
9/3/2026 15:37,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_mvkqji8x4tya22"">正心正念德财配位</a>""邀请""<a href=""weixin://link_profile?username=wxid_ptn6yguv14v922"">与疆🍖</a>""加入了群聊",未知类型
9/3/2026 15:49,群消息,"-1
""<a href=""weixin://link_profile?username=mbs836694449"">美丽人生</a>""邀请""<a href=""weixin://link_profile?username=wln_2872"">楠楠</a>""加入了群聊",未知类型
9/3/2026 15:57,FBI！OPEN UP,看到瓜的头了，中间发生了啥能变成现在这样的[破涕为笑],文本
9/3/2026 15:59,Liao Yan,发生了什么事一天下来99+,文本
9/3/2026 16:07,原则+文明,我有个想法,文本
9/3/2026 16:09,原则+文明,你们互喷了这么久,文本
9/3/2026 16:09,原则+文明,实际效果是，双方越拉越远。,文本
9/3/2026 16:09,原则+文明,那要不，你们互夸一下,文本
9/3/2026 16:09,原则+文明,说不定，越来越近[调皮],文本
9/3/2026 16:09,原则+文明,我先来,文本
9/3/2026 16:09,FBI！OPEN UP,【表情包】 ,表情包
9/3/2026 16:11,原则+文明,让我思考一下，有点难,文本
9/3/2026 16:11,原则+文明,[憨笑],文本
9/3/2026 16:11,尼古拉斯·狗剩㍿,[旺柴],文本
9/3/2026 16:12,Tear,见人说人话见鬼说鬼话吧,文本
9/3/2026 16:12,Tear,【表情包】 让我看看,表情包
9/3/2026 16:12,原则+文明,@尼古拉斯·狗剩㍿ 上次我找这哥们办业务，效率巨高，别人要搞一个小时，他20分钟就帮我搞定了,文本
9/3/2026 16:12,原则+文明,所以我尝试找他拉我进群，没想到还真进来了,文本
9/3/2026 16:13,,"""尼古拉斯·狗剩㍿"" 撤回了一条消息",系统消息
9/3/2026 16:13,尼古拉斯·狗剩㍿,这是吃瓜。。不。。是滑雪群,文本
9/3/2026 16:14,原则+文明,@Tear 这个小美女，人美心善，帮了我两次忙，都没有收我钱。,文本
9/3/2026 16:15,原则+文明,我说的是事实，只是你们不知道我是谁,文本
9/3/2026 16:16,原则+文明,还有就是这个群主，我找他学过双板。我第一次滑双板，从山上摔到山下。然后遇到他，直接给我一教就会,文本
9/3/2026 16:18,原则+文明,@明洋 这个哥们，移民方面特牛逼，ircc光速就给我批过。,文本
9/3/2026 16:23,原则+文明,@一颗榴莲 这个姐姐超级有气质的！上次我找她买花，超级漂亮的花，送给我对象，竟然成了！ 感谢她的花[抱拳][抱拳],文本
9/3/2026 16:25,原则+文明,"@POW_57卡_男卡&女卡 
这个哥们，特别哥们。 大家ktv订台可以找他， 在渥太华的这几年里，很多快乐时光都停留在朋友圈。 当然了，也经常吐在那里[合十][合十][破涕为笑]",文本
9/3/2026 16:26,原则+文明,吃饭也很棒！,文本
9/3/2026 16:36,群消息,"-1
""<a href=""weixin://link_profile?username=wangzhaoyu777"">王曌宇。</a>""邀请""<a href=""weixin://link_profile?username=xiakai2ban"">夏凯kai.x</a>""加入了群聊",未知类型
9/3/2026 16:38,原则+文明,@Yutong 这个兄弟特别仗义，当朋友有困难的时候，他会是可以豁出命来帮你的那个人,文本
9/3/2026 16:39,原则+文明,@A New Hope 这位大哥的出勤率可以得到认可[强],文本
9/3/2026 16:40,原则+文明,@。 这个人，当你忘记身份证号的时候，他一定可以帮你找到！,文本
9/3/2026 16:42,原则+文明,@NH2S 这个人，把渥太华大学告上小额法庭，索赔68000， 真的有点东西[破涕为笑] 当你们被欺负的时候，可以找她了解小额法庭的处理步骤。  ,文本
9/3/2026 16:43,,"""原则+文明"" 撤回了一条消息",系统消息
9/3/2026 16:44,原则+文明,"@NH2S  
你可以考虑
1. EMT退回
2.群里按实时汇率转对方RMB
3.找到你的收款银行说明，有1000加元的未知进账，希望可以原路退回。",文本
9/3/2026 16:44,chaesoo,"我真的要笑死了
引用：原则+文明+人品: @。 这个人，当你忘记身份证号的时候，他一定可以帮你找到！",引用消息
9/3/2026 16:46,Yutong,我竟一时分不清大哥是串子还是真的？她三个都不选怎么办，还是复读机你怎么办？我们已经无数次面临过这个问题了,文本
9/3/2026 16:47,Yutong,【表情包】 ,表情包
9/3/2026 16:47,原则+文明,"那我替她赔
引用：Yutong: 我竟一时分不清大哥是串子还是真的？她三个都不选怎么办，还是复读机你怎么办？我们已经无数次面临过这个问题了",引用消息
9/3/2026 16:47,卫,【表情包】 ,表情包
9/3/2026 16:48,Yutong,太好了[社会社会]大哥仗义,文本
9/3/2026 16:48,chaesoo,【表情包】 ,表情包
9/3/2026 16:48,Yutong,我可截图了,文本
9/3/2026 16:49,群消息,"-1
""<a href=""weixin://link_profile?username=xiakai2ban"">夏凯kai.x</a>""邀请""<a href=""weixin://link_profile?username=wxid_6346043459512"">王茜 联校队</a>""加入了群聊",未知类型
9/3/2026 16:49,Yutong,那大哥给个时间线吧,文本
9/3/2026 16:49,原则+文明,我相信安省的法律一定能追回,文本
9/3/2026 16:50,Yutong,哪天她不陪你给兜底？,文本
9/3/2026 16:50,原则+文明,但那太赖皮了，不是我的风格,文本
9/3/2026 16:51,.,【图片】,图片
9/3/2026 16:51,原则+文明,让我想想,文本
9/3/2026 16:52,原则+文明,"Yes ，真的没有人比你更懂我了
引用：。: 【图片】",引用消息
9/3/2026 16:52,Yutong,这周？这个月？还是明年？,文本
9/3/2026 16:52,Yutong,还是50年以后,文本
9/3/2026 16:52,原则+文明,你说了算,文本
9/3/2026 16:52,Yutong,你提的,文本
9/3/2026 16:53,Yutong,我不康他人之慨,文本
9/3/2026 16:53,Yutong,你感觉公道的时间就行,文本
9/3/2026 16:53,原则+文明,真的吗？,文本
9/3/2026 16:53,原则+文明,感谢大哥，让我有了一次说了算的机会,文本
9/3/2026 16:53,Yutong,可以是假的[旺柴],文本
9/3/2026 16:54,原则+文明,【表情包】 ,表情包
9/3/2026 16:55,FBI！OPEN UP,我艹，大哥您才是真男人,文本
9/3/2026 16:55,Yutong,"你要是认真的，我敬你是个好人，你要是食言，我也能理解
引用：原则+文明+人品: 那我替她赔",引用消息
