时间,昵称,内容,类型
2026-09-10 23:52:22,chaesoo,刚满18岁～～,文本
2026-09-10 23:52:30,NH2S,zyt你别反串了 恶不恶心哪,文本
2026-09-10 23:52:42,Denshen,？,文本
2026-09-10 23:52:51,chaesoo,我reading week回来陪你去警察局,文本
2026-09-10 23:52:53,chaesoo,你敢去吗,文本
2026-09-10 23:52:57,chaesoo,小姐姐,文本
2026-09-10 23:52:59,chaesoo,【表情包】 ,表情包
2026-09-10 23:53:09,chaesoo,我给你打车去呀,文本
2026-09-10 23:53:15,NH2S,zyt带着你 不见不散哦 ,文本
2026-09-10 23:53:26,chaesoo,【表情包】 ,表情包
2026-09-10 23:53:34,哈货,"她自己去不行吗
引用：没指挥倒车被罚800刀（恩师zyt: zyt带着你 不见不散哦 ",引用消息
2026-09-10 23:53:39,哈货,她不是未成年哦,文本
2026-09-10 23:53:42,哈货,换个理由,文本
2026-09-10 23:53:45,NH2S,到了给我发个照片呢,文本
2026-09-10 23:53:49,chaesoo,笑死我了喵,文本
2026-09-10 23:54:44,NH2S,真是的 都骂我欠钱 怎么我追着还钱都还不上呢,文本
2026-09-10 23:55:02,NH2S,我还欠zyt 70刀呢,文本
2026-09-10 23:55:10,NH2S,一定要还他,文本
2026-09-10 23:55:11,chaesoo,你这辈子没吃过肉吗？,文本
2026-09-10 23:55:28,chaesoo,在我眼里还是上学更重要些～,文本
2026-09-10 23:55:56,NH2S,"人家要上学呢
引用：哈货: 她自己去不行吗",引用消息
2026-09-10 23:56:08,哈货,"所以说reading week
引用：没指挥倒车被罚800刀（恩师zyt: 人家要上学呢",引用消息
2026-09-10 23:56:23,NH2S,那约日子呀,文本
2026-09-10 23:56:35,NH2S,你们到了群里发个照片,文本
2026-09-10 23:56:50,chaesoo,别打扰别人了大姐,文本
2026-09-10 23:56:55,chaesoo,私信你你又不回,文本
2026-09-10 23:57:09,chaesoo,你爱表演我们又不是,文本
2026-09-10 23:57:19,NH2S,哎 还钱真的好难哦,文本
2026-09-10 23:57:45,哈货,10.12你敢去吗@没指挥倒车被罚800刀（恩师zyt ,文本
2026-09-10 23:57:57,chaesoo,^_-,文本
2026-09-10 23:58:06,NH2S,可以呀 你约上zyt嘛,文本
2026-09-10 23:58:17,chaesoo,跟别人有什么关系,文本
2026-09-10 23:58:22,哈货,"到底是谁在骚扰谁
引用：没指挥倒车被罚800刀（恩师zyt: 可以呀 你约上zyt嘛",引用消息
2026-09-10 23:58:34,哈货,你纠缠着人家不放干嘛,文本
2026-09-10 23:58:40,chaesoo,你们的事情你们自己再单独约 对我和zyt都好,文本
2026-09-10 23:58:48,NH2S,怎么 你俩不能同时出现吗,文本
2026-09-10 23:59:04,chaesoo,不然我的事你扯人家zyt zyt的事你又扯上我,文本
2026-09-10 23:59:17,哈货,"你和他的事关我们啥事
引用：没指挥倒车被罚800刀（恩师zyt: 怎么 你俩不能同时出现吗",引用消息
2026-09-10 23:59:18,chaesoo,挡箭牌给你玩爽了,文本
2026-09-10 23:59:28,NH2S,有警察在 你怕啥呀,文本
2026-09-10 23:59:36,哈货,你要约他自己约他,文本
2026-09-10 23:59:43,NH2S,我做错的话 警察叔叔会教育我的,文本
2026-09-11 00:00:04,哈货,"那你又爽了
引用：没指挥倒车被罚800刀（恩师zyt: 我做错的话 警察叔叔会教育我的",引用消息
2026-09-11 00:00:59,NH2S,大家做个见证 这个说我欠钱的 是这个态度,文本
2026-09-11 00:01:11,NH2S,我第四次还钱了,文本
2026-09-11 00:01:33,NH2S,目的就是搞事情,文本
2026-09-11 00:01:39,NH2S,不是钱的问题,文本
2026-09-11 00:01:55,哈货,"我看出来了哈
引用：没指挥倒车被罚800刀（恩师zyt: 目的就是搞事情",引用消息
2026-09-11 00:02:02,。,是你的问题@没指挥倒车被罚800刀（恩师zyt 有病去看看医生,文本
2026-09-11 00:02:05,哈货,所以说10.12去不去,文本
2026-09-11 00:02:21,哈货,zyt和这1000刀没关系哦,文本
2026-09-11 00:03:29,NH2S,哇哦 转移话题就算了,文本
2026-09-11 00:03:44,NH2S,还想要撇清关系,文本
2026-09-11 00:03:51,哈货,"哇，转移到正事上了是吧
引用：没指挥倒车被罚800刀（恩师zyt: 哇哦 转移话题就算了",引用消息
2026-09-11 00:04:03,哈货,"本来就毫无关系有啥要撇清的
引用：没指挥倒车被罚800刀（恩师zyt: 还想要撇清关系",引用消息
2026-09-11 00:04:08,NH2S,老多人好奇yutong的瓜了,文本
2026-09-11 00:04:15,chaesoo,@哈货 别说了 让她继续,文本
2026-09-11 00:04:22,NH2S,你想反扑的话 试试咯,文本
2026-09-11 00:04:30,哈货,@没指挥倒车被罚800刀（恩师zyt 10.12去不去,文本
2026-09-11 00:04:42,狄迪卫Rex,可以的，贾跃亭的下周回国，渥太华的贱人还钱[皱眉],文本
2026-09-11 00:04:54,狄迪卫Rex,"你去了她也有新的理由。。。
引用：哈货: @没指挥倒车被罚800刀（恩师zyt 10.12去不去",引用消息
2026-09-11 00:05:15,哈货,那等她自己编,文本
2026-09-11 00:05:18,哈货,@没指挥倒车被罚800刀（恩师zyt 10.12,文本
2026-09-11 00:05:45,哈货,不然到时候被罚款别说我没给你机会,文本
2026-09-11 00:06:07,狄迪卫Rex,没必要，反正1000刀的还钱截图没有，她就只能当个小丑在那上蹿下跳。。。现在大家都看的明明白白。。她说啥没用，这个水搅不浑。。。,文本
2026-09-11 00:07:57,chaesoo,【图片】,图片
2026-09-11 00:08:32,chaesoo,我图放在这里了 你要是真心想来 你就会回我而不是在这里表演型人格大爆发,文本
2026-09-11 00:08:53,chaesoo,不说了 打扰大家了,文本
2026-09-11 00:10:59,牟耕样,我知道大家有很多人进群是为了吃瓜[破涕为笑]但是这个群确实是为了滑雪而存在的。前期的不出面，只是为了让几方能相互就事论事，而不是为了骂战。本身这个群就没有这个职能。虽然几方还是有争执，但是现在的口水战没有任何实质意义，已经有了法庭诉讼，那就直接进入法律程序，将经济纠纷妥善解决。现在继续抖个人信息已经没有任何作用。最重要的是让钱去该去的地方。给你们一天的时间收拾一下想要采集的信息，然后就请自行退群吧。就别麻烦我挨个请了。我就不@ 所有的人了,文本
2026-09-11 00:11:20,NH2S,群主你不公平哦,文本
2026-09-11 00:11:27,哈货,我预言nh2s将在10.12出去旅游一周,文本
2026-09-11 00:11:29,NH2S,前边zyt挂我2周,文本
2026-09-11 00:11:42,NH2S,我刚要爆料你才出来,文本
2026-09-11 00:12:53,NH2S,要不你等等zyt呢,文本
2026-09-11 00:13:01,NH2S,说不定他愿意陪小妹妹呢,文本
2026-09-11 00:13:33,牟耕样,哦 是你晚上刚刚@我了，这几个群我都静音，还以为你是需要我帮什么忙,文本
2026-09-11 00:13:44,NH2S,真是的 群里网上chatgpt的建议我挨个尝试,文本
2026-09-11 00:13:55,NH2S,哎 花了2周都没法还钱,文本
2026-09-11 00:14:02,NH2S,好焦虑哦,文本
2026-09-11 00:14:19,哈货,"实在不好意思，nh2s只愿意在群里发言，不愿私聊，添麻烦了
引用：牟耕样: 我知道大家有很多人进群是为了吃瓜[破涕为笑]但是这个群确实是为了滑雪而存在的。前期的不出面，只是为了让几方能相互就事论事，而不是为了骂战。本身这个群就没有这个职能。虽然几方还是有争执，但是现在的口水战没有任何实质意义，已经有了法庭诉讼，那就直接进入法律程序，将经济纠纷妥善解决。现在继续抖个人信息已经没有任何作用。最重要的是让钱去该去的地方。给你们一天的时间收拾一下想要采集的信息，然后就请自行退群吧。就别麻烦我挨个请了。我就不@ 所有的人了",引用消息
2026-09-11 00:14:23,NH2S,"那让子弹飞一会儿嘛
引用：牟耕样: 哦 是你晚上刚刚@我了，这几个群我都静音，还以为你是需要我帮什么忙",引用消息
2026-09-11 00:14:44,NH2S,要不沟通途径断了哦,文本
2026-09-11 00:15:12,牟耕样,"请你直接走法律程序，刚刚大致看了这几千条信息。
引用：没指挥倒车被罚800刀（恩师zyt: 哎 花了2周都没法还钱",引用消息
2026-09-11 00:15:23,哈货,@没指挥倒车被罚800刀（恩师zyt 我私聊你你要不回复一下呢,文本
2026-09-11 00:15:28,牟耕样,在这继续口水战没有任何意义,文本
2026-09-11 00:15:35,NH2S,没有口水战,文本
2026-09-11 00:15:49,NH2S,不能吃瘪了就叫人停手吧,文本
2026-09-11 00:16:05,NH2S,我在真诚沟通,文本
2026-09-11 00:16:07,牟耕样,你们自行留好对方信息以便后续自行私下沟通,文本
